nama_tempat,rating,jumlah_ulasan,kategori,alamat_lengkap,jam_operasional,nomor_telepon,menu,tautan_google_maps
Coffee Rider Purwakarta,"4,8",387,Kedai Kopi,"Jl. Suradireja No.20, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Jam,0813-1572-7326,Menu,https://www.google.com/maps/place/Coffee+Rider+Purwakarta/data=!4m7!3m6!1s0x2e690fc86e294e6b:0xd54e1521b1c99550!8m2!3d-6.5450115!4d107.445318!16s%2Fg%2F11sn_3zd_h!19sChIJa04pbsgPaS4RUJXJsSEVTtU?authuser=0&hl=id&rclk=1
Amound Coffee Social & Space,"4,5",277,Kedai Kopi,,,,Menu,https://www.google.com/maps/place/Amound+Coffee+Social+%26+Space/data=!4m7!3m6!1s0x2e690fbb0e47d57b:0x645f5a66db74e584!8m2!3d-6.5755838!4d107.4532753!16s%2Fg%2F11t38f2386!19sChIJe9VHDrsPaS4RhOV022ZaX2Q?authuser=0&hl=id&rclk=1
MORÉ Coffee Purwakarta,"4,9",793,Kedai Kopi,"Jl. Laks. Laut RE. Martadinata No.62, RT.30/RW.05, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Jam,0823-1923-9641,https://www.google.com/maps/contrib/103500194716479283494?hl=id-ID,https://www.google.com/maps/place/MOR%C3%89+Coffee+Purwakarta/data=!4m7!3m6!1s0x2e690ff0f111a491:0x88d870f0ce50581a!8m2!3d-6.5557083!4d107.4440761!16s%2Fg%2F11yc60xt9c!19sChIJkaQR8fAPaS4RGlhQzvBw2Ig?authuser=0&hl=id&rclk=1
Stasiun Kopi Purwakarta,"4,5",3.119,Restoran,"Jl. K.K Singawinata No.15, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",Jam,(0264) 8301707,Menu,https://www.google.com/maps/place/Stasiun+Kopi+Purwakarta/data=!4m7!3m6!1s0x2e690e4516599543:0x90f71e5426f5dc0a!8m2!3d-6.5523329!4d107.4455618!16s%2Fg%2F11c3wtw5q0!19sChIJQ5VZFkUOaS4RCtz1JlQe95A?authuser=0&hl=id&rclk=1
DIUK Coffee and Eatery,"4,6",48,Kedai Kopi,"Jl. Suradireja No.85, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Jam,,Menu,https://www.google.com/maps/place/DIUK+Coffee+and+Eatery/data=!4m7!3m6!1s0x2e690fabb6f190f9:0x97379435cb1e6fac!8m2!3d-6.5448527!4d107.4457288!16s%2Fg%2F11q8y46kvr!19sChIJ-ZDxtqsPaS4RrG8eyzWUN5c?authuser=0&hl=id&rclk=1
Hutan Jati Cafe & Gelato,"4,4",3.180,Kafe,"Jl. Syeikh Baing Yusuf No.29, Purwamekar, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41151",Jam,0811-1546-004,Menu,https://www.google.com/maps/place/Hutan+Jati+Cafe+%26+Gelato/data=!4m7!3m6!1s0x2e690f753c11a65d:0x7a797d0a0ed86a7d!8m2!3d-6.5321202!4d107.4398622!16s%2Fg%2F11rg8pd1q9!19sChIJXaYRPHUPaS4RfWrYDgp9eXo?authuser=0&hl=id&rclk=1
Koufee Coffee Shop Purwakarta,"4,9",939,Kafe,"Jl. Taman Pahlawan, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",Jam,,Menu,https://www.google.com/maps/place/Koufee+Coffee+Shop+Purwakarta/data=!4m7!3m6!1s0x2e690fb1ce3a2fcb:0xcf9a11dec5eac414!8m2!3d-6.5401082!4d107.4427252!16s%2Fg%2F11x256vrnt!19sChIJyy86zrEPaS4RFMTqxd4Rms8?authuser=0&hl=id&rclk=1
Kakota Cafe Dan Resto,"4,5",1.267,Kafe,"Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Jam,(0264) 8308931,Menu,https://www.google.com/maps/place/Kakota+Cafe+Dan+Resto/data=!4m7!3m6!1s0x2e690e5cd4194ff5:0x5de20a0267be9cd8!8m2!3d-6.5462747!4d107.4437252!16s%2Fg%2F11hd522141!19sChIJ9U8Z1FwOaS4R2Jy-ZwIK4l0?authuser=0&hl=id&rclk=1
Two Elements Coffee & Kitchen,"4,6",1.345,Kafe,"Jl. Laks. Laut RE. Martadinata No.47 C, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Jam,0811-2480-025,Menu,https://www.google.com/maps/place/Two+Elements+Coffee+%26+Kitchen/data=!4m7!3m6!1s0x2e690e4fe010b843:0x7e6003f9c6bff8e9!8m2!3d-6.555478!4d107.444077!16s%2Fg%2F11gdmcss91!19sChIJQ7gQ4E8OaS4R6fi_xvkDYH4?authuser=0&hl=id&rclk=1
Niscala Coffee Purwakarta,"5,0",33,Kedai Kopi,"Gg. Mawar 1 No 35, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",Jam,0813-2186-698,Menu,https://www.google.com/maps/place/Niscala+Coffee+Purwakarta/data=!4m7!3m6!1s0x2e690f2d2efd0f29:0xdba96c23f69640b4!8m2!3d-6.5424102!4d107.4454259!16s%2Fg%2F11ykvgtwx9!19sChIJKQ_9Li0PaS4RtECW9iNsqds?authuser=0&hl=id&rclk=1
